Monit_MAP_CODE1,Year,pct_garage_yes,homestead_y_count,homestead_n_count,GREEN_ACRE_y_count,GREEN_ACRE_n_count
82033400-01,2009,NaN,0,0,0,0
19002900-01,2009,NaN,948,313,0,1265
82009002-01,2009,NaN,0,0,0,0
82009200-01,2009,NaN,0,0,0,0
19002300-01,2009,NaN,5883,726,0,6623
27003501-01,2009,100.0,4324,797,0,5121
02000500-01,2009,68.85361552028219,1888,947,0,0
82015900-01,2009,NaN,0,0,0,0
27007000-01,2009,100.0,3916,523,0,4439
27071100-01,2009,100.0,6331,1580,0,7911
82002000-01,2009,NaN,0,0,0,0
19002500-01,2009,NaN,2181,189,0,2380
19002601-01,2010,NaN,9040,3407,288,10446
82008700-01,2010,100.0,10312,2531,196,12647
82005400-01,2010,100.0,308,118,54,372
82009700-01,2010,100.0,8717,2721,50,11386
82015300-01,2010,100.0,630,88,36,682
19003100-01,2010,NaN,1894,712,36,1913
82007700-01,2010,100.0,184,18,24,178
19034800-01,2010,NaN,6508,986,23,7491
82036800-01,2010,100.0,440,138,22,556
82009400-01,2010,100.0,10358,1922,22,12258
10005200-01,2010,47.227191413237925,0,0,21,1083
82033400-01,2010,100.0,144,30,20,154
82012200-01,2010,100.0,540,152,20,672
82013700-01,2010,99.34533551554829,1152,271,18,1401
82010400-01,2010,100.0,592,86,14,664
10009500-01,2010,55.55555555555556,0,0,11,599
10012100-01,2010,50.8695652173913,0,0,10,415
10001900-01,2010,73.07462686567165,0,0,9,3323
82012300-01,2010,100.0,280,52,8,324
82010100-01,2010,100.0,204,78,8,274
10000200-01,2010,93.89312977099237,2378,876,8,810
82015900-01,2010,100.0,2652,1584,4,4232
70002600-01,2010,NaN,1915,259,4,0
82008900-01,2010,100.0,2342,778,2,3118
82002000-01,2010,100.0,3974,1714,2,5686
82003400-01,2010,100.0,12,14,2,24
19044600-01,2010,NaN,4727,372,2,5115
19002700-01,2010,NaN,1641,212,0,1855
27005300-01,2010,100.0,8523,1884,0,10407
19002400-01,2010,NaN,2131,491,0,2624
02000500-01,2010,69.18460995411225,1914,919,0,0
27071100-01,2010,100.0,6313,1598,0,7911
27004201-01,2010,100.0,7737,1688,0,9425
19002500-01,2010,NaN,2171,197,0,2378
27007000-01,2010,100.0,3906,533,0,4439
82011602-01,2010,100.0,5138,1448,0,6586
82009002-01,2010,100.0,6036,1362,0,7398
82010300-01,2010,100.0,1632,196,0,1828
19003300-01,2010,NaN,3685,790,0,4501
19002900-01,2010,NaN,938,323,0,1265
19002300-01,2010,NaN,5948,727,0,6703
10001100-01,2010,89.68253968253968,0,0,0,751
