Monit_MAP_CODE1,Year,mean_TOTAL_TAX,mean_SALE_VALUE,mean_FIN_SQ_FT,mean_ACRES_DEED,pct_garage_yes,homestead_y_count,homestead_n_count,GREEN_ACRE_y_count,GREEN_ACRE_n_count,LAKE_NAME,latitude,longitude,avg_secchi_depth,avg_total_phosphorus
10005200-01,2012,4458.1641118124435,169359.8169522092,1631.394950405771,8.594427412082958,59.33273219116321,601,474,54,1055,Reitz Lake,44.83862568,-93.74452179,1.2999999999999998,0.105
10009500-01,2012,2795.8094462540716,116589.71172638437,1222.0537459283387,15.88827361563516,55.537459283387626,364,250,43,571,Swede Lake,44.930824,-93.8182476,0.3428571428571428,0.3673571428571429
10012100-01,2012,2197.1916859122402,111462.41801385682,1178.8706697459584,42.4586143187067,52.19399538106235,368,65,25,408,Eagle Lake,44.80860271,-93.93464391,2.1972727272727273,0.09690909090909092
19002100-01,2012,3133.665626720499,145279.73169388878,2216.1449807304093,0.0,NaN,4718,731,0,5449,Alimagnet Lake,44.74812624,-93.24821298,1.4045454545454545,0.0689090909090909
19002200-01,2012,3230.5592070944185,162487.6748826291,2324.0233437663014,0.0,NaN,7064,604,0,7668,Long Lake,44.7559202,-93.17320832,1.8167959183673468,0.08791836734693875
19002300-01,2012,3464.610980622431,239726.0921902525,2536.712272460364,0.0,NaN,6039,773,0,6812,Farquar Lake,44.75863717,-93.1646402,0.6285714285714284,0.1657142857142857
19002400-01,2012,5588.636329017517,147136.19116527037,2992.520563594821,0.0,NaN,2081,545,0,2626,Wood Lake,44.74111827,-93.2658604,1.2769230769230768,0.07669230769230768
19002500-01,2012,3031.4314550042054,146235.8780487805,2211.8090832632465,0.0,NaN,2151,227,0,2378,Keller Lake,44.72650508,-93.2520238,0.6964285714285714,0.09171428571428572
19002601-01,2012,4310.281814595661,181300.35581854044,2973.575857988166,0.6292260355029587,NaN,9250,3425,307,12368,Marion Lake,44.65825741,-93.27557035,1.9642857142857142,0.02857142857142857
19002700-01,2012,3398.0005385029617,150831.4550350027,2245.267097469036,0.0,NaN,1594,263,0,1857,Crystal Lake,44.72296805,-93.27036573,2.0142857142857142,0.03457142857142857
19002900-01,2012,5946.469242902208,175766.5362776025,2733.9716088328078,0.0,NaN,921,347,0,1268,Lee Lake,44.71229881,-93.28746428,1.853846153846154,0.0436923076923077
19003100-01,2012,2912.988532110092,220381.84021406728,2307.3436544342508,2.4989793577981643,NaN,1897,719,34,2582,Orchard Lake,44.7022537,-93.31089353,3.0666666666666664,0.02125
19003300-01,2012,9306.479653102067,182546.21058483433,3995.74093840338,0.0,NaN,3662,835,0,4497,Earley Lake,44.73975323,-93.29337284,1.9166666666666667,0.05575
19034800-01,2012,3433.145251396648,158170.27174780527,2148.268688480979,0.0,NaN,6386,1132,23,7495,Valley Lake,44.71508954,-93.20902364,1.3923076923076922,0.08230769230769232
19044600-01,2012,3392.130485211676,186130.71853856562,2449.946259423932,0.0,NaN,4691,482,2,5171,Lac Lavon Lake,44.72061708,-93.24520003,3.564285714285714,0.026142857142857145
27003501-01,2012,7082.921442495127,188621.63391812865,1275.101754385965,0.0,100.0,4255,875,0,5130,Sweeney Lake,44.99052075,-93.34160616,1.1888888888888889,0.047333333333333324
27004201-01,2012,4843.167650158061,134105.7051633298,992.3608008429926,0.0,100.0,7619,1871,0,9490,Twin Lake,45.05077632,-93.33618999,0.9187500000000001,0.15506250000000002
